7zip 26.01-1
xfce4-diskperf-plugin 2.8.0-2
xfce4-eyes-plugin 4.7.0-1
xfce4-fsguard-plugin 1.2.0-1
xfce4-genmon-plugin 4.3.0-1
xfce4-mailwatch-plugin 1.4.0-1
xfce4-mount-plugin 1.2.0-1
xfce4-mpc-plugin 0.6.0-1
xfce4-netload-plugin 1.5.0-1
xfce4-notes-plugin 1.12.0-1
xfce4-notifyd 0.9.7-2
xfce4-panel 4.20.7-1
xfce4-places-plugin 1.9.0-1
xfce4-power-manager 4.20.0-3
xfce4-pulseaudio-plugin 0.5.1-1
xfce4-screensaver 4.20.2-1
xfce4-screenshooter 1.11.3-3
xfce4-sensors-plugin 1.5.0-2
xfce4-session 4.20.4-1
xfce4-settings 4.20.4-1
xfce4-smartbookmark-plugin 0.6.0-2
xfce4-systemload-plugin 1.4.0-1
xfce4-taskmanager 1.6.0-1
xfce4-terminal 1.2.0-1
xfce4-time-out-plugin 1.2.0-1
xfce4-timer-plugin 1.8.0-1
xfce4-verve-plugin 2.1.0-1
xfce4-wavelan-plugin 0.7.0-2
xfce4-weather-plugin 0.12.0-2
xfce4-whiskermenu-plugin 2.10.1-2
xfce4-xkb-plugin 0.9.0-1
xfdesktop 4.20.2-1
xfwm4 4.20.0-2
xwayland-satellite 0.8.1-1
yay-bin 12.5.7-1
yay-bin-debug 12.5.7-1
yazi 26.5.6-2
yelp 49.1-1
zotero-bin 9.0.3-1
zoxide 0.9.9-2
